* Factoid Sources
** Tutorials
     |----+-----------------------------------------------------------------------------------------------------------------------|
     | ID | Link                                                                                                                  |
     |----+-----------------------------------------------------------------------------------------------------------------------|
     | T1 | http://clair.si.umich.edu/fuse/rdg_summarization/tacl_feb_experiments/factoids/dp/ACLslides.pdf                       |
     | T2 | http://clair.si.umich.edu/fuse/rdg_summarization/tacl_feb_experiments/factoids/dp/IASNLP_summer-school-depparsing.pdf |
     | T3 | http://clair.si.umich.edu/fuse/rdg_summarization/tacl_feb_experiments/factoids/dp/dependency_parsing.pdf              |
     |----+-----------------------------------------------------------------------------------------------------------------------|
** Surveys
   |----+--------------------------------------------------------------------------------------------------------------------------------|
   | ID | Link                                                                                                                           |
   |----+--------------------------------------------------------------------------------------------------------------------------------|
   | S1 | http://clair.si.umich.edu/fuse/rdg_summarization/tacl_feb_experiments/factoids/dp/morgan_clay_dp.pdf                           |
   | S2 | http://clair.si.umich.edu/fuse/rdg_summarization/tacl_feb_experiments/factoids/dp/05133.pdf                                    |
   | S3 | http://clair.si.umich.edu/fuse/rdg_summarization/tacl_feb_experiments/factoids/dp/SRL_DEP-Literature_Survey-2012-Janardhan.pdf |
   |----+--------------------------------------------------------------------------------------------------------------------------------|

* Factoids

|-----------+------------------------------------------------------------------------------------------------+----+----+----+----+----+----+-----------|
| Factoid # | Factoid                                                                                        | T1 | T2 | T3 | S1 | S2 | S3 | #Factoids |
|-----------+------------------------------------------------------------------------------------------------+----+----+----+----+----+----+-----------|
| P38       | non-projective dependency structures / trees                                                   | X  | X  | X  | X  | X  | X  | 6 X       |
| P29       | projectivity / projective dependency trees                                                     | X  | X  | X  | X  | X  | X  | 6 X       |
| M02       | deterministic parsing approaches: Nivre's algorithm                                            | X  | X  | X  | X  | X  |    | 5 X       |
| P01       | terminology: head - dependent                                                                  | X  | X  | X  |    | X  |    | 4 X       |
| M11       | grammar driven approaches for dependency parsing                                               | X  | X  |    | X  | X  |    | 4 X       |
| M10       | learning methods: Memory Based Learning (MBL)                                                  | X  | X  | X  | X  |    |    | 4 X       |
| M09       | learning methods: Support Vector Machines (SVM)                                                | X  | X  | X  | X  |    |    | 4 X       |
| M08       | deterministic parsing approaches: Covington's incremental algorithm                            | X  | X  | X  |    | X  |    | 4 X       |
| M07       | eisner's bilexical algorithm                                                                   | X  |    | X  | X  | X  |    | 4 X       |
| M06       | CKY parser                                                                                     | X  | X  |    | X  | X  |    | 4 X       |
| M05       | parsing methods: deterministic parsing                                                         | X  | X  | X  |    | X  |    | 4 X       |
| M04       | parsing methods: constraint satisfaction                                                       | X  | X  | X  |    | X  |    | 4 X       |
| M03       | parsing methods: dynamic programming                                                           | X  | X  | X  |    | X  |    | 4 X       |
| D03       | dependency grammar definition                                                                  |    | X  |    | X  | X  | X  | 4 X       |
| V01       | Venue: CoNLL shared task                                                                       | X  |    | X  | X  |    |    | 3 X       |
| S03       | system: CDG parser                                                                             | X  |    |    | X  | X  |    | 3 X       |
| S02       | system: MaltParser                                                                             | X  | X  |    | X  |    |    | 3 X       |
| S01       | system: MSTParser                                                                              | X  | X  |    | X  |    |    | 3 X       |
