* Factoid Sources
** Tutorials
     |----+---------------------------------------------------------------------------------------------------------------------------------|
     | ID | Link                                                                                                                            |
     |----+---------------------------------------------------------------------------------------------------------------------------------|
     | T1 | http://clair.si.umich.edu/fuse/rdg_summarization/tacl_feb_experiments/factoids/summ/orasan-ranlp-2009-100909172803-phpapp01.pdf |
     | T2 | http://clair.si.umich.edu/fuse/rdg_summarization/tacl_feb_experiments/factoids/summ/P11-5003.pdf                                |
     | T3 | http://clair.si.umich.edu/fuse/rdg_summarization/tacl_feb_experiments/factoids/summ/sigirtutorial2004.pdf                       |
     | T4 | http://clair.si.umich.edu/fuse/rdg_summarization/tacl_feb_experiments/factoids/summ/15-Summarization.pdf                        |
     |----+---------------------------------------------------------------------------------------------------------------------------------|
** Surveys
   |----+-------------------------------------------------------------------------------------------------------------|
   | ID | Link                                                                                                        |
   |----+-------------------------------------------------------------------------------------------------------------|
   | S1 | http://clair.si.umich.edu/fuse/rdg_summarization/tacl_feb_experiments/factoids/summ/05404226.pdf            |
   | S2 | http://clair.si.umich.edu/fuse/rdg_summarization/tacl_feb_experiments/factoids/summ/05635127.pdf            |
   | S3 | http://clair.si.umich.edu/fuse/rdg_summarization/tacl_feb_experiments/factoids/summ/1500000015-Nenkova.pdf  |
   | S4 | http://clair.si.umich.edu/fuse/rdg_summarization/tacl_feb_experiments/factoids/summ/das-martins07.pdf       |
   | S5 | http://clair.si.umich.edu/fuse/rdg_summarization/tacl_feb_experiments/factoids/summ/978-1-4614-3223-4_3.pdf |
   | S6 | http://clair.si.umich.edu/fuse/rdg_summarization/tacl_feb_experiments/factoids/summ/znalosti2008-Jezek.pdf  |
   | S7 | http://clair.si.umich.edu/fuse/rdg_summarization/tacl_feb_experiments/factoids/summ/radevetal02.pdf         |
   |----+-------------------------------------------------------------------------------------------------------------|

* Factoids

|-----------+--------------------------------------------------------------------------------+----+----+----+----+----+----+----+--------|
| Factoid # | Factoid                                                                        | T1 | T2 | T3 | T4 | S3 | S4 | S6 | #Total |
|-----------+--------------------------------------------------------------------------------+----+----+----+----+----+----+----+--------|
| P04       | multi-document summarization                                                   | X  | X  | X  | X  | X  | X  | X  | 7 X    |
| P03       | single-document summarization                                                  | X  | X  | X  | X  | X  | X  | X  | 7 X    |
| P02       | abstractive summarization                                                      | X  | X  | X  | X  | X  | X  | X  | 7 X    |
| P01       | extractive summarization                                                       | X  | X  | X  | X  | X  | X  | X  | 7 X    |
| F01       | word / term frequency as feature                                               | X  | X  | X  | X  | X  | X  | X  | 7 X    |
| M03       | Naive Bayes (Kupiec 95)                                                        | X  | X  | X  |    | X  | X  | X  | 6 X    |
| M02       | Maximal Margin Relevance (MMR)                                                 | X  | X  | X  |    | X  | X  | X  | 6 X    |
| M01       | Rhetorical Parsing / Rhetorical Structure Theory (RST)                         | X  |    | X  | X  | X  | X  | X  | 6 X    |
| M05       | Hidden Markov Model (HMM)                                                      | X  | X  | X  |    | X  | X  |    | 5 X    |
| M04       | lexical chains                                                                 |    | X  | X  |    | X  | X  | X  | 5 X    |
| F04       | sentence length as feature                                                     | X  | X  | X  |    | X  | X  |    | 5 X    |
| F03       | sentence location / position as feature                                        | X  | X  | X  | X  |    | X  |    | 5 X    |
| F02       | cue words as feature                                                           | X  | X  | X  | X  |    | X  |    | 5 X    |
| D01       | definition of summarization                                                    | X  | X  |    | X  | X  |    | X  | 5 X    |
| V02       | DUC                                                                            | X  |    | X  |    | X  | X  |    | 4 X    |
| V01       | SUMMAC                                                                         | X  |    | X  |    | X  | X  |    | 4 X    |
| P07       | query focused summarization                                                    |    |    | X  | X  | X  |    | X  | 4 X    |
| P06       | summarization classification by dimensions (query-specific, query-independent) |    |    | X  | X  | X  |    | X  | 4 X    |
| P05       | summarization classification by purpose (indicative, informative, critical)    |    |    | X  | X  | X  |    | X  | 4 X    |
| M06       | maximum entropy / log linear models                                            | X  | X  | X  |    |    | X  |    | 4 X    |
| F10       | topic signatures                                                               |    | X  | X  |    | X  | X  |    | 4 X    |
