* Factoid Sources
** Tutorials

   |----+----------------------------------------------------------------------------------------------------------------|
   | ID | Link                                                                                                           |
   |----+----------------------------------------------------------------------------------------------------------------|
   | T1 | http://clair.si.umich.edu/fuse/rdg_summarization/tacl_feb_experiments/factoids/wsd/presentations/emnlp11.pdf   |
   | T2 | http://clair.si.umich.edu/fuse/rdg_summarization/tacl_feb_experiments/factoids/wsd/presentations/WSD.pdf       |
   | T3 | http://clair.si.umich.edu/fuse/rdg_summarization/tacl_feb_experiments/factoids/wsd/presentations/new3.pdf      |
   | T4 | http://clair.si.umich.edu/fuse/rdg_summarization/tacl_feb_experiments/factoids/wsd/presentations/Lecture13.pdf |
   |----+----------------------------------------------------------------------------------------------------------------|
** Surveys

   |----+------------------------------------------------------------------------------------------------------------------------|
   | ID | Link                                                                                                                   |
   |----+------------------------------------------------------------------------------------------------------------------------|
   | S1 | http://clair.si.umich.edu/fuse/rdg_summarization/tacl_feb_experiments/factoids/wsd/surveys/acl_wiki_survey_wsd.txt     |
   | S2 | http://clair.si.umich.edu/fuse/rdg_summarization/tacl_feb_experiments/factoids/wsd/surveys/wsdbook-2006-ch1.pdf        |
   | S3 | http://clair.si.umich.edu/fuse/rdg_summarization/tacl_feb_experiments/factoids/wsd/surveys/wsd_survey_2005.pdf         |
   | S4 | http://clair.si.umich.edu/fuse/rdg_summarization/tacl_feb_experiments/factoids/wsd/surveys/wsd_survey_navigli_2009.pdf |
   | S5 | http://clair.si.umich.edu/fuse/rdg_summarization/tacl_feb_experiments/factoids/wsd/surveys/1998wsd.pdf                 |
   |----+------------------------------------------------------------------------------------------------------------------------|



* Factoids 

|-----------+-----------------------------------------------------------------------------------------+----+----+----+----+----+----+----+----+----+---------|
| Factoid # | Factoid                                                                                 | T1 | T2 | T3 | T4 | S1 | S2 | S3 | S4 | S5 | # Total |
|-----------+-----------------------------------------------------------------------------------------+----+----+----+----+----+----+----+----+----+---------|
| D01       | definition of word sense dismabiguation                                                 | X  | X  | X  | X  | X  | X  | X  | X  | X  | 9 X     |
| R01       | wordnet                                                                                 | X  | X  | X  |    | X  | X  | X  | X  | X  | 8 X     |
| M01       | knowledge based word sense disambiguation                                               |    | X  | X  | X  | X  | X  |    | X  | X  | 7 X     |
| M02       | supervised word sense disambiguation                                                    | X  | X  | X  | X  | X  | X  |    | X  |    | 7 X     |
| M03       | word sense disambiguation using multilingual / parallel language texts                  | X  | X  | X  |    |    | X  | X  | X  | X  | 7 X     |
| V02       | senseval                                                                                | X  | X  | X  |    | X  | X  |    | X  | X  | 7 X     |
| D02       | definition of word senses                                                               | X  |    | X  | X  |    | X  |    | X  | X  | 6 X     |
| M04       | knowledge based disambiguation using machine readable dictionaries                      |    | X  | X  |    | X  | X  |    | X  | X  | 6 X     |
| M13       | unsupervised word sense disambiguation                                                  |    | X  | X  | X  |    | X  | X  | X  |    | 6 X     |
| M20       | bootstrapping algorithms                                                                | X  | X  | X  |    |    | X  | X  | X  |    | 6 X     |
| M32       | supervised disambiguation using decision lists                                          | X  | X  | X  | X  | X  |    |    | X  |    | 6 X     |
| M55       | knowledge based disambiguation using selectional restrictions / preferences             |    |    | X  |    | X  | X  | X  | X  | X  | 6 X     |
| M56       | knowledge based disambiguation using the lesk algorithm                                 |    | X  | X  |    |    | X  | X  | X  | X  | 6 X     |
| R03       | LDOCE (Longman Dictionary of Contemporary English)                                      |    |    | X  | X  |    | X  | X  | X  | X  | 6 X     |
| M17       | bootstrapping using yarowsky algorithm                                                  |    | X  | X  |    | X  | X  |    | X  |    | 5 X     |
| M41       | heuristic of one sense per discourse                                                    | X  |    | X  | X  |    | X  |    |    | X  | 5 X     |
| M52       | knowledge based disambiguation using semantic similarity                                |    | X  | X  |    | X  | X  |    | X  |    | 5 X     |
| R15       | Roget's International Thesuarus                                                         |    |    | X  | X  |    | X  |    | X  | X  | 5 X     |
| A06       | word sense disambiguation for information retrieval                                     |    |    |    |    |    | X  | X  | X  | X  | 4 X     |
| A07       | word sense disambiguation for machine translation                                       |    |    |    |    |    | X  | X  | X  | X  | 4 X     |
| E09       | most frequent sense baseline (or lower bound) for word sense disambiguation             |    | X  | X  |    |    |    | X  | X  |    | 4 X     |
| M10       | unsupervised word sense disambiguation using clustering                                 |    | X  | X  |    |    | X  |    |    | X  | 4 X     |
| M31       | supervised disambiguation using naive bayes                                             | X  | X  | X  |    |    |    |    | X  |    | 4 X     |
| M40       | heuristic of one sense per collocation                                                  | X  |    | X  | X  |    |    |    |    | X  | 4 X     |
| P04       | granularity of word senses                                                              |    | X  |    |    |    | X  |    | X  | X  | 4 X     |
| P05       | lexical sample / targeted word sense disambiguation                                     |    |    | X  | X  |    |    | X  | X  |    | 4 X     |
| P08       | all words word sense disambiguation                                                     |    |    | X  | X  |    |    | X  | X  |    | 4 X     |
| A05       | word sense disambiguation for information extraction                                    |    |    |    |    |    | X  | X  | X  |    | 3 X     |
| E03       | precision and recall metrics for evaluating word sense disambiguation                   |    |    | X  |    |    |    | X  | X  |    | 3 X     |
| E05       | pseudo words (banana-door)                                                              | X  | X  | X  |    |    |    |    |    |    | 3 X     |
